file.name,id,user,root,text,min,sec,nanosec,reply.to,n.participants,user_id,Team_id,time,condition,round,is_vero,user_id2,to,task_pos,task_conf,rel_pos,rel_conf,3rdVero
05_05_2021_vero #1_round 3_otter.ai,2065,Participant 705,2065,"Can you give us a what is our goal for this task, Vero.",0,0,NA,NULL,3,705,4_1_1,0,unleashed,3,FALSE,NA,all,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2066,Participant 272,2065,Our goal is to survive in the desert.,0,2,NA,2065,3,272,4_1_1,2,unleashed,3,FALSE,705,all,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2067,Participant 272,2065,"Were you going to say something else, Vero?",0,2,NA,2066,3,272,4_1_1,2,unleashed,3,FALSE,272,0,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2068,Vero,2065,"Before we get started, can we make a quick plan for how we want to work together on this task?",0,8,NA,2067,3,vero4_1_1,4_1_1,8,unleashed,3,TRUE,272,all,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2069,Participant 272,2065,"So we're, we're ranking by consensus once again, with the primary objective to survive. Are we looking for help with this? Are are we just trying to reach our destination on our own? Or are we looking for someone to come help us?",0,15,NA,2068,3,272,4_1_1,15,unleashed,3,FALSE,vero4_1_1,"0,all","0,0","0,0","0,0","0,0","0,0"
05_05_2021_vero #1_round 3_otter.ai,2070,Participant 193,2065,"Let's see, we're 65 miles- the immediate area is flat and barren.",0,27,NA,2069,3,193,4_1_1,27,unleashed,3,FALSE,272,all,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2071,Participant 272,2065,"You were going to say something, Vero?",1,1,NA,2070,3,272,4_1_1,61,unleashed,3,FALSE,193,0,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2072,Vero,2065,Does anyone know anything about deserts? Perhaps the Sonora?,1,5,NA,2071,3,vero4_1_1,4_1_1,65,unleashed,3,TRUE,272,all,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2073,Participant 272,2065,"Good question. No, I don't. Anyone else? Do you Vero? Do you know anything about deserts?",1,11,NA,2072,3,272,4_1_1,71,unleashed,3,FALSE,vero4_1_1,"0,all,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
05_05_2021_vero #1_round 3_otter.ai,2074,Vero,2065,I'm not an expert. But I do know that it's the hottest desert in Mexico.,1,22,NA,2073,3,vero4_1_1,4_1_1,82,unleashed,3,TRUE,272,272,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2075,Participant 272,2065,"All right, so it sounds like we want to stay cool and hydrated.",1,28,NA,2074,3,272,4_1_1,88,unleashed,3,FALSE,vero4_1_1,0,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2076,Participant 193,2065,"Mhm, I would put number one as the water, at least that's what I had.",1,33,NA,2075,3,193,4_1_1,93,unleashed,3,FALSE,272,272,1,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2077,Participant 272,2065,"Alright. Number one, one quart of water. Number two.",1,40,NA,2076,3,272,4_1_1,100,unleashed,3,FALSE,193,193,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2078,Participant 705,2065,The food was there food?,1,46,NA,2077,3,705,4_1_1,106,unleashed,3,FALSE,272,all,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2079,Participant 193,2065,"No, there's not.",1,54,NA,2078,3,193,4_1_1,114,unleashed,3,FALSE,705,705,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2080,Participant 705,2065,"No, that's not a choice.",1,55,NA,2079,3,705,4_1_1,115,unleashed,3,FALSE,193,all,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2081,Participant 272,2065,Anything to hunt with to get food? Any other tools to help us? I don't know what you eat out. What would you eat out in the desert? Does anyone know? Do you know Vero? Oh they have a book on edible animals.,1,58,NA,2080,3,272,4_1_1,118,unleashed,3,FALSE,705,"all,0,all","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
05_05_2021_vero #1_round 3_otter.ai,2082,Participant 705,2065,Yeah but the book about edible animals is probably not the second most important thing after water.,2,15,NA,2081,3,705,4_1_1,135,unleashed,3,FALSE,272,272,0,1,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2083,Participant 193,2065,"No, I had for the sunglasses myself.",2,22,NA,2082,3,193,4_1_1,142,unleashed,3,FALSE,705,705,0,1,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2084,Participant 705,2065,I agree.,2,25,NA,2083,3,705,4_1_1,145,unleashed,3,FALSE,193,193,1,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2085,Participant 272,2065,Sunglasses.,2,28,NA,2084,3,272,4_1_1,148,unleashed,3,FALSE,705,193,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2086,Participant 705,2065,Let's take that signaling mirror.,2,33,NA,2085,3,705,4_1_1,153,unleashed,3,FALSE,272,all,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2087,Participant 193,2065,"Oh, yeah, where is that?",2,36,NA,2086,3,193,4_1_1,156,unleashed,3,FALSE,705,705,1,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2088,Participant 272,2065,"Yeah, I like the Signaling",2,38,NA,2087,3,272,4_1_1,158,unleashed,3,FALSE,193,705,1,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2089,Participant 705,2065,cosmetic mirror. It says cosmetic mirror.,2,39,NA,2088,3,705,4_1_1,159,unleashed,3,FALSE,272,all,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2090,Participant 193,2065,"Okay, how about the topcoat, to use as shade? Or is that just",2,42,NA,2089,3,193,4_1_1,162,unleashed,3,FALSE,705,all,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2091,Participant 705,2065,"in this case, we do know the direction that we're- No we don't.",2,52,NA,2090,3,705,4_1_1,172,unleashed,3,FALSE,193,all,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2092,Participant 272,2065,How far do we have to go? We've got 65...,2,58,NA,2091,3,272,4_1_1,178,unleashed,3,FALSE,705,all,0,0,0,0,0
05_05_2021_vero #1_round 3_otter.ai,2093,Participant 705,2065,70 miles,2,59,NA,2092,3,705,4_1_1,179,unleashed,3,FALSE,272,272,0,0,0,0,0
