file.name,id,user,root,text,min,sec,nanosec,reply.to,n.participants,user_id,Team_id,time,condition,round,is_vero,user_id2,to,task_pos,task_conf,rel_pos,rel_conf,3rdVero
03_06_2021AM_vero #2_task_round 1_otter.ai,21092,Participant 516,21092,All right.,0,0,NA,NULL,2,516,1_2_7,0,taskwork,1,FALSE,NA,all,0,0,0,0,0
03_06_2021AM_vero #2_task_round 1_otter.ai,21093,Participant 773,21092,"My name is Isabella. Okay, so the survival. Did you get the password? Or is it just gonna, like pop up below the mic to blue screen above? Okay. I mean,",0,5,NA,21092,2,773,1_2_7,5,taskwork,1,FALSE,516,"all,516","0,0","0,0","0,0","0,0","0,0"
03_06_2021AM_vero #2_task_round 1_otter.ai,21094,Participant 773,21092,"I was also wondering, do we all want to type or does like maybe someone wants to be like a really fast or someone like expecially like fast typer and we can like copy and paste from like the zoom chat.",0,5,NA,21093,2,773,1_2_7,5,taskwork,1,FALSE,773,all,0,0,0,0,0
03_06_2021AM_vero #2_task_round 1_otter.ai,21095,Participant 773,21092,The password is wave...,0,5,NA,21094,2,773,1_2_7,5,taskwork,1,FALSE,773,all,0,0,0,0,0
03_06_2021AM_vero #2_task_round 1_otter.ai,21096,Participant 516,21092,"It didn't seem like there will be much typing, so maybe we can just all type and then",1,1,NA,21095,2,516,1_2_7,61,taskwork,1,FALSE,773,773,0,0,0,0,0
03_06_2021AM_vero #2_task_round 1_otter.ai,21097,Participant 773,21092,"Yeah, I was thinking of the, the creativity one that we had to do. All right. Is everyone done reading the task?",1,6,NA,21096,2,773,1_2_7,66,taskwork,1,FALSE,516,"516,all","0,0","0,0","0,0","0,0","0,0"
03_06_2021AM_vero #2_task_round 1_otter.ai,21098,Participant 516,21092,"Oh, yeah.",2,16,NA,21097,2,516,1_2_7,136,taskwork,1,FALSE,773,773,0,0,0,0,0
03_06_2021AM_vero #2_task_round 1_otter.ai,21099,Participant 773,21092,I don't know where she disappeared.,2,19,NA,21098,2,773,1_2_7,139,taskwork,1,FALSE,516,all,0,0,0,0,0
03_06_2021AM_vero #2_task_round 1_otter.ai,21100,Participant 516,21092,"I mean, we can get started then fill her in after.",2,23,NA,21099,2,516,1_2_7,143,taskwork,1,FALSE,773,773,0,0,0,0,0
03_06_2021AM_vero #2_task_round 1_otter.ai,21101,Participant 773,21092,"Okay, so.",2,27,NA,21100,2,773,1_2_7,147,taskwork,1,FALSE,516,all,0,0,0,0,0
03_06_2021AM_vero #2_task_round 1_otter.ai,21102,NA,21092,STRONG Team  2:31,2,27,NA,21101,2,773,1_2_7,147,taskwork,1,FALSE,773,NA,NA,NA,NA,NA,NA
03_06_2021AM_vero #2_task_round 1_otter.ai,21103,NA,21092,"Hi, guys. I just wanted to let you know, I think, Did you just lose a teammate?",2,27,NA,21102,2,773,1_2_7,147,taskwork,1,FALSE,773,NA,NA,NA,NA,NA,NA
03_06_2021AM_vero #2_task_round 1_otter.ai,21104,NA,21092,Yes,2,35,NA,21103,2,773,1_2_7,155,taskwork,1,FALSE,773,NA,NA,NA,NA,NA,NA
03_06_2021AM_vero #2_task_round 1_otter.ai,21105,NA,21092,STRONG Team  2:35,2,35,NA,21104,2,773,1_2_7,155,taskwork,1,FALSE,773,NA,NA,NA,NA,NA,NA
