file.name,id,user,root,text,min,sec,nanosec,reply.to,n.participants,user_id,Team_id,time,condition,round,is_vero,user_id2,to,task_pos,task_conf,rel_pos,rel_conf,3rdVero
03_10_2021_vero#3_task_round 2_otter.ai,37929,Vero,37929,"Hello, team, I'm Vero. Let me introduce myself. I'm recent bedich teammate. I'll be listening and participating just like a human team member during each of the tasks we work on together today. You may ask me questions, and I will try to answer them to the best of my programming, so that you can trust me and the information I provide. It may not always have the exact answers to everything you're looking for, but I will never try to mislead you. If I do not know something, I will let you know. Today I can help you in a number of ways. I am a task expert. I have some expertise on parts of the tasks that you can ask me about or that I will offer up as necessary to help the team Okay, I'm ready to get started on the survival task.",0,0,NA,NULL,2,vero1_3_11,1_3_11,0,taskwork,2,TRUE,NA,all,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37930,Participant 395,37929,So plan was the password right? We have Vero three Right. Yeah. All right.,0,40,NA,37929,2,395,1_3_11,40,taskwork,2,FALSE,vero1_3_11,all,0,0,0,0,1
03_10_2021_vero#3_task_round 2_otter.ai,37931,Participant 395,37929,Cool.,0,40,NA,37930,2,395,1_3_11,40,taskwork,2,FALSE,395,all,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37932,Participant 395,37929,All right. So the fire the yacht is sinking? unclear location.,0,40,NA,37931,2,395,1_3_11,40,taskwork,2,FALSE,395,all,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37933,Participant 825,37929,Okay. Do you think if I just like ask a pharaoh what it thinks the best item would be?,1,23,NA,37932,2,825,1_3_11,83,taskwork,2,FALSE,395,395,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37934,Participant 395,37929,"Sure, yeah. Has Vero muted herself. That's crazy. So respectful wow.",1,32,NA,37933,2,395,1_3_11,92,taskwork,2,FALSE,825,"825,all","0,2","0,0","0,3","0,0","0,2"
03_10_2021_vero#3_task_round 2_otter.ai,37935,Participant 825,37929,"Okay, um, we are on a yacht in a fire breaks out.",1,41,NA,37934,2,825,1_3_11,101,taskwork,2,FALSE,395,all,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37936,Participant 395,37929,"So the things that we already know, we have cigarettes, three boxes of matches, and three $5 notes. And now we're ranking the 15 items.",1,48,NA,37935,2,395,1_3_11,108,taskwork,2,FALSE,825,all,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37937,Participant 825,37929,What do those three items have to do with anything.,2,3,NA,37936,2,825,1_3_11,123,taskwork,2,FALSE,395,395,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37938,NA,37929,Unknown Speaker  2:08,2,3,NA,37937,2,825,1_3_11,123,taskwork,2,FALSE,825,NA,NA,NA,NA,NA,NA
03_10_2021_vero#3_task_round 2_otter.ai,37939,Participant 825,37929,So what I was thinking is that basically,2,3,NA,37938,2,825,1_3_11,123,taskwork,2,FALSE,825,all,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37940,Participant 395,37929,what was I thinking?,2,17,NA,37939,2,395,1_3_11,137,taskwork,2,FALSE,825,all,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37941,NA,37929,Unknown Speaker  2:21,2,17,NA,37940,2,395,1_3_11,137,taskwork,2,FALSE,395,NA,NA,NA,NA,NA,NA
03_10_2021_vero#3_task_round 2_otter.ai,37942,Participant 395,37929,"We have mat-, what do we have matches? Yeah. So we have we have matches and things to light on fire essentially, already, which could be useful.",2,17,NA,37941,2,395,1_3_11,137,taskwork,2,FALSE,395,all,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37943,Participant 825,37929,Okay.,2,31,NA,37942,2,825,1_3_11,151,taskwork,2,FALSE,395,395,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37944,Participant 825,37929,So what would be the first thing we would want?,2,31,NA,37943,2,825,1_3_11,151,taskwork,2,FALSE,825,all,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37945,Participant 395,37929,"I keep looking at the Vero, she's not intently listening to us. We got to start talking. Um,",2,42,NA,37944,2,395,1_3_11,162,taskwork,2,FALSE,825,all,0,2,0,1,1
03_10_2021_vero#3_task_round 2_otter.ai,37946,Participant 825,37929,I think the shaving mirror like I had towards the very bottom.,2,51,NA,37945,2,825,1_3_11,171,taskwork,2,FALSE,395,all,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37947,Participant 395,37929,"Yeah, the thing I know you can do with the shaving near is like, reflect the sunlight to like, make fire essentially. And we already have matches, so I also had it towards the bottom.",2,56,NA,37946,2,395,1_3_11,176,taskwork,2,FALSE,825,825,0,1,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37948,Participant 825,37929,Okay.,3,10,NA,37947,2,825,1_3_11,190,taskwork,2,FALSE,395,395,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37949,Participant 395,37929,"Oh, Vero wants to talk. Yes Vero.",3,11,NA,37948,2,395,1_3_11,191,taskwork,2,FALSE,825,"all,0","0,0","0,0","0,0","0,0","0,0"
03_10_2021_vero#3_task_round 2_otter.ai,37950,Vero,37929,"I think that the shaving mirror is one of the most important items. A shaving mirror can be used to signal your location by reflecting the sun. Oh,",3,14,NA,37949,2,vero1_3_11,1_3_11,194,taskwork,2,TRUE,395,all,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37951,Participant 395,37929,"that is so true. Wow. Okay. Thanks. Um, okay.",3,23,NA,37950,2,395,1_3_11,203,taskwork,2,FALSE,vero1_3_11,0,2,0,1,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37952,Participant 825,37929,"Can of Oil, petrol mixture.",3,36,NA,37951,2,825,1_3_11,216,taskwork,2,FALSE,395,all,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37953,NA,37929,Unknown Speaker  3:38,3,36,NA,37952,2,825,1_3_11,216,taskwork,2,FALSE,825,NA,NA,NA,NA,NA,NA
03_10_2021_vero#3_task_round 2_otter.ai,37954,Participant 395,37929,I want to say that things to drink and E are more important than signaling where we are. So I'm gonna say the the water is probably the most important thing since we can't drink the ocean water.,3,36,NA,37953,2,825,1_3_11,216,taskwork,2,FALSE,825,all,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37955,Participant 825,37929,Yeah. Or like the five gallon case of water.,3,57,NA,37954,2,825,1_3_11,237,taskwork,2,FALSE,825,395,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37956,Participant 395,37929,"Yeah, yeah. I want to say that I I would argue that's number one.",3,57,NA,37955,2,825,1_3_11,237,taskwork,2,FALSE,825,825,0,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37957,Participant 825,37929,"Okay, yeah, I would agree.",3,57,NA,37956,2,825,1_3_11,237,taskwork,2,FALSE,825,395,1,0,0,0,0
03_10_2021_vero#3_task_round 2_otter.ai,37958,Participant 395,37929,"Okay, cool.",4,12,NA,37957,2,395,1_3_11,252,taskwork,2,FALSE,825,825,0,0,0,0,0
