file.name,id,user,root,text,min,sec,nanosec,reply.to,n.participants,user_id,Team_id,time,condition,round,is_vero,user_id2,to,task_pos,task_conf,rel_pos,rel_conf,3rdVero
03_11_2021_vero #8_task_round 3_otter.ai,42585,Participant 128,42585,"Alright, let's make this count.",0,1,NA,NULL,2,128,1_8_12,1,taskwork,3,FALSE,NA,all,0,0,0,0,0
03_11_2021_vero #8_task_round 3_otter.ai,42586,Participant 290,42585,All right. Hi Vero.,0,4,NA,42585,2,290,1_8_12,4,taskwork,3,FALSE,128,"128,0","0,0","0,0","0,1","0,0","0,0"
03_11_2021_vero #8_task_round 3_otter.ai,42587,Participant 128,42585,password is tell.,0,7,NA,42586,2,128,1_8_12,7,taskwork,3,FALSE,290,all,0,0,0,0,0
03_11_2021_vero #8_task_round 3_otter.ai,42588,Vero,42585,I'm ready to get started on the next round of tasks.,0,17,NA,42587,2,vero1_8_12,1_8_12,17,taskwork,3,TRUE,128,all,0,0,0,0,0
03_11_2021_vero #8_task_round 3_otter.ai,42589,Participant 290,42585,"You haven't read this one right, Patrick?",0,40,NA,42588,2,290,1_8_12,40,taskwork,3,FALSE,vero1_8_12,128,0,0,0,0,0
03_11_2021_vero #8_task_round 3_otter.ai,42590,Participant 128,42585,"No, I haven't.",0,42,NA,42589,2,128,1_8_12,42,taskwork,3,FALSE,290,290,0,0,0,0,0
03_11_2021_vero #8_task_round 3_otter.ai,42591,Participant 290,42585,"Cool. Let me know when you're ready. Okay. So this one in terms of, we've got water. We've got salt tablets. We've got like, I don't think any food. I guess I thought water would be number one.",0,43,NA,42590,2,290,1_8_12,43,taskwork,3,FALSE,128,128,0,0,0,0,0
03_11_2021_vero #8_task_round 3_otter.ai,42592,Participant 128,42585,"Yeah, let's go water.",1,26,NA,42591,2,128,1_8_12,86,taskwork,3,FALSE,290,290,1,0,0,0,0
03_11_2021_vero #8_task_round 3_otter.ai,42593,Participant 290,42585,"What do you think about water a quart of water, Vero? Do you think that's important?",1,29,NA,42592,2,290,1_8_12,89,taskwork,3,FALSE,128,0,0,0,0,0,0
03_11_2021_vero #8_task_round 3_otter.ai,42594,Vero,42585,I think this item is one of the most important,1,34,NA,42593,2,vero1_8_12,1_8_12,94,taskwork,3,TRUE,290,290,0,0,0,0,0
03_11_2021_vero #8_task_round 3_otter.ai,42595,Participant 128,42585,salt tablets. I think that's the last thing you want out there.,1,39,NA,42594,2,128,1_8_12,99,taskwork,3,FALSE,vero1_8_12,all,0,0,0,0,0
03_11_2021_vero #8_task_round 3_otter.ai,42596,Participant 290,42585,Isn't that something? Isn't there something about salt tablets that you said is good for the desert? I'm not sure.,1,45,NA,42595,2,290,1_8_12,105,taskwork,3,FALSE,128,128,0,1,0,0,0
03_11_2021_vero #8_task_round 3_otter.ai,42597,Vero,42585,May I say something?,1,54,NA,42596,2,vero1_8_12,1_8_12,114,taskwork,3,TRUE,290,all,0,0,0,0,0
03_11_2021_vero #8_task_round 3_otter.ai,42598,NA,42585,Unknown Speaker  1:57,1,54,NA,42597,2,NA,NA,114,NA,3,TRUE,175,NA,NA,NA,NA,NA,NA
03_11_2021_vero #8_task_round 3_otter.ai,42599,Participant 128,42585,Do you think salt tablets are helpful in the desert Vero?,1,54,NA,42598,2,NA,NA,114,NA,3,TRUE,NA,0,0,0,0,0,0
03_11_2021_vero #8_task_round 3_otter.ai,42600,Vero,42585,I think this item is one of the least important side tablets would be useful for treating heat cramps and restoring electrolytes lost through sweating will dehydrate you if taken without adequate water.,2,2,NA,42599,2,NA,NA,122,NA,3,TRUE,NA,128,0,1,0,0,0
03_11_2021_vero #8_task_round 3_otter.ai,42601,Participant 128,42585,Yeah. I think sunglasses would be nice.,2,12,NA,42600,2,128,1_8_12,132,taskwork,3,FALSE,vero1_8_12,"0,all","0,0","0,0","0,0","0,0","0,0"
