file.name,id,user,root,text,min,sec,nanosec,reply.to,n.participants,user_id,Team_id,time,condition,round,is_vero,user_id2,to,task_pos,task_conf,rel_pos,rel_conf,3rdVero
03_06_2021PM_vero #7_team_round 1_otter.ai,31120,Participant 219,31120,Are we Breakout Room seven? Because?,0,2,NA,NULL,2,219,2_7_8,2,teamwork,1,FALSE,NA,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31121,Participant 493,31120,Yeah.,0,6,NA,31120,2,493,2_7_8,6,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31122,Participant 493,31120,Do you want to compare what we put individually.,0,6,NA,31121,2,493,2_7_8,6,teamwork,1,FALSE,493,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31123,Participant 219,31120,"Okay, yeah. Okay, so I put, okay. Oh, yeah, I put oxygen and water. Food matches. dehydrated milk. First Aid Kit, signal flares, receiver transmitter. magnetic compass, nylon rope, heating unit. parachute silk map, inflating life raft and the pistols.",0,23,NA,31122,2,219,2_7_8,23,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31124,Participant 493,31120,"Mine was water oxygen, food concentrate, compass. FM radio, signal flares, stellar map, the rope, the heating unit. The first aid kit, matches life raft. Milk, pistols and parachute silk.",1,11,NA,31123,2,493,2_7_8,71,teamwork,1,FALSE,219,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31125,Participant 219,31120,"You put like the kind of survival things first, like oxygen and water.",1,34,NA,31124,2,219,2_7_8,94,teamwork,1,FALSE,493,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31126,Participant 493,31120,Yeah. We can do oxygen first. Because that's pretty important.,1,40,NA,31125,2,493,2_7_8,100,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31127,Participant 219,31120,But it was pretty heavy. It looks pretty heavy.,1,45,NA,31126,2,219,2_7_8,105,teamwork,1,FALSE,493,493,0,1,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31128,Participant 493,31120,"Yeah, I just like I don't know how much oxygen is already in your suit. I guess but um one two it doesn't really matter.",1,48,NA,31127,2,493,2_7_8,108,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31129,Participant 219,31120,Food you put food next?,2,3,NA,31128,2,219,2_7_8,123,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31130,Participant 493,31120,Yeah.,2,4,NA,31129,2,493,2_7_8,124,teamwork,1,FALSE,219,219,1,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31131,Participant 219,31120,All right. Okay. I put box of matches next. I think that...,2,5,NA,31130,2,219,2_7_8,125,teamwork,1,FALSE,493,493,1,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31132,Participant 493,31120,What was your reasoning for that.,2,20,NA,31131,2,493,2_7_8,140,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31133,Participant 219,31120,"I just felt like matches. I had like, I was like, matches, you know, you never know when you're going to need a source of fire whether to be like light to light something like, like if you have like scraps of wood or just random stuff, right? I'm thinking about different types. Oops. You just never know when you're gonna need",2,24,NA,31132,2,219,2_7_8,144,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31134,Participant 493,31120,Don't you need oxygen to light it. Since you're on the moon.,2,58,NA,31133,2,493,2_7_8,178,teamwork,1,FALSE,219,219,0,1,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31135,Participant 219,31120,"Yeah, that's true. Yeah, that's true. But we have the oxygen.",3,4,NA,31134,2,219,2_7_8,184,teamwork,1,FALSE,493,493,1,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31136,Participant 493,31120,Why don't you put after matches?,3,18,NA,31135,2,493,2_7_8,198,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31137,Participant 219,31120,Let me check.,3,21,NA,31136,2,219,2_7_8,201,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31138,Participant 219,31120,I put the milk next.,3,21,NA,31137,2,219,2_7_8,201,teamwork,1,FALSE,219,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31139,Participant 493,31120,As like a food source.,3,27,NA,31138,2,493,2_7_8,207,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31140,Participant 219,31120,Yeah.,3,28,NA,31139,2,219,2_7_8,208,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31141,Participant 493,31120,And then what?,3,30,NA,31140,2,493,2_7_8,210,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31142,Participant 219,31120,And then I put the first aid kit.,3,31,NA,31141,2,219,2_7_8,211,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31143,Participant 493,31120,Okay.,3,34,NA,31142,2,493,2_7_8,214,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31144,Participant 493,31120,I think first aid kit next.,3,34,NA,31143,2,493,2_7_8,214,teamwork,1,FALSE,493,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31145,Participant 219,31120,"Yeah, sure.",3,43,NA,31144,2,219,2_7_8,223,teamwork,1,FALSE,493,493,1,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31146,Participant 493,31120,I put a lot of like locational things are things you can use for help.,3,53,NA,31145,2,493,2_7_8,233,teamwork,1,FALSE,219,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31147,Participant 219,31120,"Yeah, I think my my gut instinct was, I think after first aid kit, certainly like signal flares, receiver transmitter, compass, all of my navigational things after the food stuff.",4,3,NA,31146,2,219,2_7_8,243,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31148,Participant 493,31120,Do you want to do that next then.,4,16,NA,31147,2,493,2_7_8,256,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31149,Participant 219,31120,Yeah.,4,18,NA,31148,2,219,2_7_8,258,teamwork,1,FALSE,493,493,1,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31150,Participant 219,31120,Which one shall we do first,4,18,NA,31149,2,219,2_7_8,258,teamwork,1,FALSE,219,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31151,Participant 493,31120,the receiver transmitter?,4,30,NA,31150,2,493,2_7_8,270,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31152,Participant 219,31120,Then compass. Like moon navigation. I feel like I don't know how navigational tools work well like how they work on the moon.,4,42,NA,31151,2,219,2_7_8,282,teamwork,1,FALSE,493,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31153,Participant 493,31120,"Yeah, me neither. But we can put that later. Do you want to do signal flares for six then.",5,0,NA,31152,2,493,2_7_8,300,teamwork,1,FALSE,219,219,1,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31154,Participant 219,31120,Yeah. I'm like the Earth's gravitational field and the moon doesn't really have that.,5,4,NA,31153,2,219,2_7_8,304,teamwork,1,FALSE,493,493,1,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31155,Participant 493,31120,Yeah.,5,15,NA,31154,2,493,2_7_8,315,teamwork,1,FALSE,219,219,1,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31156,Participant 219,31120,Signal flares number six,5,17,NA,31155,2,219,2_7_8,317,teamwork,1,FALSE,493,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31157,Participant 493,31120,and my seven was the map.,5,24,NA,31156,2,493,2_7_8,324,teamwork,1,FALSE,219,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31158,Participant 219,31120,Map was like number map was pretty close behind so,5,29,NA,31157,2,219,2_7_8,329,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31159,Participant 493,31120,My next one was the rope.,5,51,NA,31158,2,493,2_7_8,351,teamwork,1,FALSE,219,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31160,Participant 219,31120,I put rope after the navigational stuff too so yeah,5,56,NA,31159,2,219,2_7_8,356,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31161,Participant 493,31120,I had the heating unit after,6,15,NA,31160,2,493,2_7_8,375,teamwork,1,FALSE,219,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31162,Participant 219,31120,"Yeah that makes sense I think my list went on like this shop by shop all over the place now so I'll definitely yes like yeah, I click a bunch of buttons and now so",6,18,NA,31161,2,219,2_7_8,378,teamwork,1,FALSE,493,493,1,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31163,Participant 493,31120,Do matches next?,6,49,NA,31162,2,493,2_7_8,409,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31164,Participant 219,31120,Yeah so are we going to like list the compass last or,6,51,NA,31163,2,219,2_7_8,411,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31165,Participant 493,31120,Uh,7,3,NA,31164,2,493,2_7_8,423,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31166,Participant 493,31120,Yeah.,7,3,NA,31165,2,493,2_7_8,423,teamwork,1,FALSE,493,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31167,Participant 219,31120,Why did you what number did you have parachute silk,7,27,NA,31166,2,219,2_7_8,447,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31168,Participant 493,31120,12,7,32,NA,31167,2,493,2_7_8,452,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31169,Participant 219,31120,oh,7,33,NA,31168,2,219,2_7_8,453,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31170,Participant 219,31120,It could double like because we're on the moon but you can double as like cloth blanket if you need to burn something too,7,33,NA,31169,2,219,2_7_8,453,teamwork,1,FALSE,219,493,0,1,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31171,Participant 493,31120,I had pistols pretty far.,7,54,NA,31170,2,493,2_7_8,474,teamwork,1,FALSE,219,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31172,Participant 219,31120,Yeah I had that last.,7,56,NA,31171,2,219,2_7_8,476,teamwork,1,FALSE,493,493,1,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31173,Participant 493,31120,"Okay, and put that as 14. Either the silk or the raft is 13 or the milk.",7,58,NA,31172,2,493,2_7_8,478,teamwork,1,FALSE,219,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31174,Participant 219,31120,"Put that at 13 then we have the raft and the parachute. Oh, no.",8,22,NA,31173,2,219,2_7_8,502,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31175,Participant 493,31120,"Yeah, that's why I have life raft",8,43,NA,31174,2,493,2_7_8,523,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31176,Participant 493,31120,"If someone gets hurt, you can drag them around.",8,43,NA,31175,2,493,2_7_8,523,teamwork,1,FALSE,493,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31177,Participant 219,31120,"Oh, yeah. Wait, wait, wait. Yeah. I kind of Yeah, I that's a good idea. Oh, parachutes silk?",8,50,NA,31176,2,219,2_7_8,530,teamwork,1,FALSE,493,493,2,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31178,Participant 493,31120,As um 12?,9,2,NA,31177,2,493,2_7_8,542,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31179,Participant 219,31120,"So we have a minute I'm just gonna like read them out. In order. Oxygen, water. Food concentrate. First Aid Kit, FM receiver transmitter. Signal flares. Map. rope. heating unit. matches. life raft. parachute silk. Milk. pistols. compass.",9,7,NA,31178,2,219,2_7_8,547,teamwork,1,FALSE,493,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31180,Participant 219,31120,"Yep, same thing. Does your hat say Cornell on it?",9,7,NA,31179,2,219,2_7_8,547,teamwork,1,FALSE,219,493,0,0,1,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31181,Participant 493,31120,Yeah,10,29,NA,31180,2,493,2_7_8,629,teamwork,1,FALSE,219,219,0,0,1,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31182,Participant 219,31120,Are you a Cornell student?,10,31,NA,31181,2,219,2_7_8,631,teamwork,1,FALSE,493,493,0,0,1,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31183,Participant 493,31120,"Um, yeah, I mean, I graduated last semester. Oh yeah, yes. What about you",10,33,NA,31182,2,493,2_7_8,633,teamwork,1,FALSE,219,219,0,0,1,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31184,Participant 219,31120,I'm a I'm a Northwestern student so I just press the arrow now or it says submit and then they'll give us the password but then,10,41,NA,31183,2,219,2_7_8,641,teamwork,1,FALSE,493,493,0,0,1,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31185,Participant 493,31120,"Oh, there it is. It's feel",10,59,NA,31184,2,493,2_7_8,659,teamwork,1,FALSE,219,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31186,Participant 219,31120,"Feel, alright",11,2,NA,31185,2,219,2_7_8,662,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31187,Participant 219,31120,Brick.,11,2,NA,31186,2,219,2_7_8,662,teamwork,1,FALSE,219,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31188,Participant 219,31120,I had some interesting ideas for this.,11,2,NA,31187,2,219,2_7_8,662,teamwork,1,FALSE,219,all,1,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31189,Participant 493,31120,Okay.,11,16,NA,31188,2,493,2_7_8,676,teamwork,1,FALSE,219,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31190,Participant 493,31120,And so it says our individual ideas are already like automatically included in here.,11,16,NA,31189,2,493,2_7_8,676,teamwork,1,FALSE,493,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31191,Participant 219,31120,"Oh, okay. Okay. I remember what I wrote so well, I wrote not a lot. I wrote weapon like a platform, rudimentary carjack dinner plate, pillow headrest, same thing. instrument toy building, like for building as bricks do. And then paperweight",11,26,NA,31190,2,219,2_7_8,686,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31192,Participant 493,31120,I wrote a number of things but some of them are weird.,12,14,NA,31191,2,493,2_7_8,734,teamwork,1,FALSE,219,all,1,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31193,Participant 493,31120,Do you want me to read all,12,14,NA,31192,2,493,2_7_8,734,teamwork,1,FALSE,493,219,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31194,Participant 219,31120,Yeah,12,19,NA,31193,2,219,2_7_8,739,teamwork,1,FALSE,493,493,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31195,Participant 493,31120,"The ones that you didn't list are like an anchor to grow plants in to make paint to build stuff and go large pendulum. A mold make little containers as sandpaper to make something heavy, painted break into small bits to do physics experiments as a stand to hold open a window to hold small objects to put food in to get a pet to eat slower to hold it as like a exercise weight to flatten something to put in the sun and bake something on it and to heat it and use it as an iron.",12,23,NA,31194,2,493,2_7_8,743,teamwork,1,FALSE,219,all,0,0,0,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31196,Participant 219,31120,Wow. Oh those are cool ideas. I like the exercise one I didn't think of that.,12,57,NA,31195,2,219,2_7_8,777,teamwork,1,FALSE,493,493,3,0,2,0,0
03_06_2021PM_vero #7_team_round 1_otter.ai,31197,Participant 493,31120,"Okay, sounds like you just throw out oh,",13,13,NA,31196,2,493,2_7_8,793,teamwork,1,FALSE,219,all,0,0,0,0,0
